[INFO] 2024-01-25 00:03:28 : Analysing the "champagne supernova" song.
[INFO] 2024-01-25 00:03:28 : 36 / 56 rows processed
[INFO] 2024-01-25 00:03:28 : 37 / 56 rows processed
[INFO] 2024-01-25 00:03:28 : 38 / 56 rows processed
[INFO] 2024-01-25 00:03:28 : 39 / 56 rows processed
[INFO] 2024-01-25 00:03:28 : 40 / 56 rows processed
[INFO] 2024-01-25 00:03:28 : 41 / 56 rows processed
[INFO] 2024-01-25 00:03:28 : 42 / 56 rows processed
[INFO] 2024-01-25 00:03:28 : 43 / 56 rows processed
[INFO] 2024-01-25 00:03:28 : 44 / 56 rows processed
[INFO] 2024-01-25 00:03:28 : 45 / 56 rows processed
[INFO] 2024-01-25 00:03:28 : 46 / 56 rows processed
[INFO] 2024-01-25 00:03:28 : 47 / 56 rows processed
[INFO] 2024-01-25 00:03:28 : 48 / 56 rows processed
[INFO] 2024-01-25 00:03:28 : 49 / 56 rows processed
[INFO] 2024-01-25 00:03:28 : 50 / 56 rows processed
[INFO] 2024-01-25 00:03:28 : 51 / 56 rows processed
[INFO] 2024-01-25 00:03:28 : 52 / 56 rows processed
[INFO] 2024-01-25 00:03:28 : 53 / 56 rows processed
[INFO] 2024-01-25 00:03:28 : 54 / 56 rows processed
[INFO] 2024-01-25 00:03:28 : 55 / 56 rows processed
[INFO] 2024-01-25 00:03:28 : 56 / 56 rows processed
[INFO] 2024-01-25 00:03:28 : Analysing the "wonderwall" song.
[INFO] 2024-01-25 00:03:28 : 1 / 42 rows processed
[INFO] 2024-01-25 00:03:28 : 2 / 42 rows processed
[INFO] 2024-01-25 00:03:28 : 3 / 42 rows processed
[INFO] 2024-01-25 00:03:28 : 4 / 42 rows processed
[INFO] 2024-01-25 00:03:28 : 5 / 42 rows processed
[INFO] 2024-01-25 00:03:28 : 6 / 42 rows processed
[INFO] 2024-01-25 00:03:28 : 7 / 42 rows processed
[INFO] 2024-01-25 00:03:28 : 8 / 42 rows processed
[INFO] 2024-01-25 00:03:28 : 9 / 42 rows processed
[INFO] 2024-01-25 00:03:28 : 10 / 42 rows processed
[INFO] 2024-01-25 00:03:28 : 11 / 42 rows processed
[INFO] 2024-01-25 00:03:28 : 12 / 42 rows processed
[INFO] 2024-01-25 00:03:28 : 13 / 42 rows processed
[INFO] 2024-01-25 00:03:28 : 14 / 42 rows processed
[INFO] 2024-01-25 00:03:28 : 15 / 42 rows processed
[INFO] 2024-01-25 00:03:28 : 16 / 42 rows processed
[INFO] 2024-01-25 00:03:28 : 17 / 42 rows processed
[INFO] 2024-01-25 00:03:28 : 18 / 42 rows processed
[INFO] 2024-01-25 00:03:28 : 19 / 42 rows processed
[INFO] 2024-01-25 00:03:28 : 20 / 42 rows processed
[INFO] 2024-01-25 00:03:28 : 21 / 42 rows processed
[INFO] 2024-01-25 00:03:28 : 22 / 42 rows processed
[INFO] 2024-01-25 00:03:28 : 23 / 42 rows processed
